date,side,subregime,break_bar,gap_out,fwd_bars,wall_us,ratio,rv,drift_norm,cum_fwd_pct
2025-06-18,call,violent,2,False,23,6013.859132297804,10.023098553829673,6.818586224758721e-05,-0.5335618073636826,-0.4405872279581692
2025-06-24,call,violent,4,False,21,6082.304954019579,10.05339661821418,1.316191063081708e-05,0.7203225914337684,0.2613283368670124
2025-06-26,call,narrow,5,False,20,6133.796394658996,10.055403925670486,5.810815092905142e-06,1.1290668855040182,0.2721687120064005
2025-06-27,call,narrow,2,False,23,6180.6044787042,10.04976338000683,2.835888567006869e-05,-0.08200910700267862,-0.043672360248444266
2025-06-30,call,narrow,0,True,25,6180.160233066278,10.049041029376061,1.118776323938689e-05,0.728878513404741,0.2437961154075975
2025-07-02,call,narrow,20,False,5,6229.878314126842,10.048190829236843,4.896755664265407e-06,0.32642034616330173,0.07223229907382142
2025-07-10,call,narrow,7,False,18,6278.462656994023,10.045540251190436,8.432659702458514e-06,0.20827692721394447,0.060481624727437684
2025-07-21,call,narrow,1,False,24,6326.35144806527,10.041827695341699,8.984997740524417e-06,-0.8800467661943274,-0.26379389325034863
2025-07-23,call,violent,0,True,25,6326.622096781822,10.042257296479082,1.7181043077096808e-05,1.3561107983354168,0.5621082216222104
2025-08-12,call,violent,6,False,19,6422.505406961364,10.035164698377132,1.2496185520961629e-05,0.9726760291103355,0.3438404331456011
2025-08-13,call,narrow,0,True,25,6472.203786692305,10.034424475491946,1.3649112418250076e-05,-0.25908691033718656,-0.09571889521868399
2025-08-15,call,narrow,0,True,25,6469.046064901156,10.02952878279249,1.1433075585727668e-05,-0.7359928944004437,-0.24886003555143926
2025-09-05,call,narrow,0,True,25,6510.645201161856,10.016377232556701,5.2591398157656576e-05,-1.0239327855747555,-0.742555308887698
2025-09-11,call,narrow,1,False,24,6561.45400909326,10.017487036783603,1.207941698243949e-05,0.9157204150725918,0.3182628028445773
2025-09-15,call,narrow,1,False,24,6609.986231105598,10.0151306531903,9.22518789583352e-06,0.2439108652484105,0.0740830334734442
2025-09-18,call,narrow,0,True,25,6620.629360070063,10.031256606166762,2.159502547683897e-05,0.535800630428944,0.24898895394458864
2025-10-03,call,narrow,0,True,25,6732.137893934639,10.047967005872595,1.578982019165533e-05,-0.586215918289816,-0.23294114155996112
2025-10-24,call,narrow,0,True,25,6777.308970099667,10.040457733480988,1.2400551277088638e-05,-0.05845418473601867,-0.020584300060290616
2025-10-27,call,narrow,0,True,25,6829.671356021248,10.043634347090071,3.901675205568339e-06,1.9494580567392543,0.3850697939001524
2025-11-26,call,narrow,6,False,19,6817.608286252354,10.025894538606403,2.482936420287694e-05,-0.14420273050524415,-0.07185488246595026
2025-12-19,call,narrow,7,False,18,6840.165150825019,10.059066398272087,6.545618626526843e-06,0.2399369970312881,0.06138645697833538
2026-01-07,call,narrow,8,False,17,6963.76664056382,10.048725311058904,1.3832230153108507e-05,-1.3896656924070467,-0.5168403824618831
2026-01-09,call,violent,3,False,22,6961.151901105074,10.04495223824686,2.2611766127196494e-05,0.2657741864267419,0.12638049144776423
2026-01-27,call,violent,1,False,24,6981.877525198061,10.045866942731024,7.67341822200809e-06,0.25335414926096056,0.07018146922758198
2026-04-08,call,violent,0,True,25,6781.353086492803,10.046449017026376,3.368287882189593e-05,0.16252460522238568,0.09432432830760984
2026-04-09,call,narrow,11,False,14,6831.004103484285,10.04559426982983,2.3920618821502353e-05,-0.029931132654158258,-0.014638930772496376
2026-04-14,call,narrow,2,False,23,6930.701552285228,10.044495003311924,1.7105499965592472e-05,1.236804328197507,0.5115273775216139
2026-04-16,call,narrow,0,True,25,7029.729498617564,10.042470712310806,2.1689727480669446e-05,0.2471099295896286,0.1150846084992037
2026-04-17,call,narrow,0,True,25,7079.3857549215645,10.04168192187456,2.297352819277366e-05,0.8991347077204828,0.4309616359641762
2026-04-21,call,narrow,1,False,24,7132.6724235882275,10.046017498011588,7.926439783356097e-05,-1.0414950068758673,-0.9272487884135897
2026-04-22,call,violent,2,False,23,7131.047088764219,10.04372829403411,1.2614707345829812e-05,0.42633351455220864,0.15142168134148648
2026-04-30,call,narrow,10,False,15,7179.250271338325,10.040909470403252,2.534574434324193e-05,0.8653328162080748,0.43564797416733037
2026-05-01,call,narrow,0,True,25,7229.073752862,10.040380212308333,2.4587020088570706e-05,-0.5198680731146964,-0.25777814537584354
2026-05-06,call,narrow,0,True,25,7279.243830314922,10.040336317675754,1.2796508337439443e-05,1.771626516381494,0.6337499146349742
2026-05-07,call,narrow,4,False,21,7380.542114327893,10.041553897044752,2.3947191803687895e-05,-0.966222266152998,-0.4728292530923649
2026-05-11,call,narrow,9,False,16,7428.026511564994,10.037873664277019,1.3981468636055742e-05,-0.2843977672524681,-0.10634145028200187
2026-05-13,call,narrow,8,False,17,7429.109132303216,10.039336665274616,1.6574864498849152e-05,0.7604224793939082,0.3095850214690482
2026-05-14,call,narrow,0,True,25,7478.578397957684,10.038360265715012,1.4558686363449686e-05,1.008873948167709,0.3849443969204351
2026-05-22,call,narrow,0,True,25,7471.281717719006,10.028566064052358,1.6915314974887192e-05,-0.5644581813397582,-0.23215167242599224
2026-05-26,call,narrow,0,True,25,7522.782078098563,10.030376104131417,1.0303738671168662e-05,0.08278048599458701,0.02657207009712092
2026-05-29,call,narrow,0,True,25,7570.859110617597,10.02762796108291,2.019440318894312e-05,-0.3134443466013011,-0.14085619503975327
2024-07-19,put,violent,7,False,18,5525.847465345452,10.046995391537186,5.160496033504895e-05,0.15126300325119335,-0.10866218736983176
2024-07-24,put,violent,6,False,19,5475.778319753154,10.047299669271842,2.8457643968472072e-05,1.1886015653080468,-0.6340679019113534
2024-07-25,put,violent,1,False,24,5425.675600378894,10.047547408109063,0.00014036143535341755,0.20235030965262452,-0.23973297434857177
2024-07-30,put,violent,13,False,12,5424.608856088561,10.045571955719558,5.398058299491091e-05,-0.832498616300101,0.6116490501884739
2024-08-01,put,violent,20,False,5,5421.380821715991,10.039594114288873,0.0001068174958494842,-0.5802765222077751,0.5997305825690613
2024-08-02,put,violent,0,True,25,5420.874460499157,10.038656408331772,0.00016458765260661792,0.4361238247531046,-0.5595107533877253
2024-08-05,put,violent,0,True,25,5224.021029030886,10.046194286597858,0.00024877533156275134,-0.4706476751697097,0.7423343799666663
2024-09-06,put,violent,11,False,14,5409.593604263823,10.017765933821895,7.548639096845713e-05,-0.12771575818175504,0.11096316023080338
2024-11-04,put,violent,8,False,17,5724.508169389797,10.042996788403153,2.5765984281337294e-05,-0.20677121355155806,0.10495749221565265
2024-11-15,put,narrow,0,True,25,5922.26034997866,10.037729406743491,2.3619327311150418e-05,1.1968600202397734,-0.5816706121068589
2024-12-23,put,violent,2,False,23,5945.736434108526,10.07751937984496,2.6021345288510532e-05,-2.015876025390568,1.02832097100472
2024-12-27,put,narrow,0,True,25,6016.683417085427,10.061343506831818,8.743879972243535e-05,0.21927110000605832,-0.20503759022486245
2024-12-30,put,violent,0,True,25,5936.911359695351,10.06256162660229,5.023871650248101e-05,-0.5671829510015353,0.4020151646226624
2025-01-07,put,violent,21,False,4,5933.577969182679,10.056911812174032,9.799102352185274e-05,0.2094611583759279,-0.20734647089563868
2025-01-10,put,violent,0,True,25,5878.015986494169,10.047890575203708,0.0001100326750900865,0.6267469038873554,-0.6574353209681053
2025-01-13,put,violent,0,True,25,5830.327319011335,10.052288481054026,7.676664718487014e-05,-0.9610425697205047,0.8420326115089324
2025-02-25,put,violent,2,False,23,5967.722637318255,10.029785945072698,0.00010536306369822981,-0.2753831947052749,0.28267124324870324
2025-02-27,put,violent,20,False,5,5917.950602512606,10.030424750021366,0.00012104384636990419,0.6153555112019802,-0.6770136926019329
2025-03-04,put,violent,0,True,25,5815.08164892695,10.0260028429775,0.00021295568650069136,0.15486235178129407,-0.22599064985249287
2025-03-05,put,violent,6,False,19,5764.003704593009,10.024354268857408,0.00018860606780680953,-1.0463554784299236,1.4370010413051055
2025-03-06,put,violent,0,True,25,5814.4820240610425,10.024969007001797,0.00011957910196285209,0.11135851106939568,-0.12177301509985387
2025-03-07,put,violent,4,False,21,5711.38178913738,10.01996805111821,0.0001648713525171234,-0.878938861281042,1.1285771866182928
2025-03-10,put,violent,19,False,6,5613.386135787933,10.023903813907024,7.880161340388539e-05,-0.19077278255543934,0.16934951958215233
2025-03-11,put,violent,1,False,24,5613.095409411426,10.023384659663261,0.0002363358880746873,0.4164030116809071,-0.6401455038248345
2025-03-13,put,violent,16,False,9,5510.971673134815,10.019948496608755,0.0001050092383609127,-0.2656501970332831,0.2722224238684621
2025-03-18,put,violent,1,False,24,5615.970910127981,10.028519482371395,3.345744373495167e-05,-0.35409916761368976,0.2048194916914528
2025-03-28,put,violent,3,False,22,5629.528848576468,10.052730086743692,5.381514005065924e-05,0.8969931504776031,-0.658023439861993
2025-03-31,put,violent,0,True,25,5526.546774164715,10.048266862117664,0.00014296180230084435,-1.826026790915179,2.1833187899941726
2025-04-03,put,violent,0,True,25,5536.379727967206,10.066144959940376,0.00014063896623395575,1.3031197142628843,-1.545386620013489
2025-04-04,put,violent,0,True,25,5376.046944268524,10.048685877137428,0.0007895075248795601,0.9888053942123205,-2.778362853039739
2025-04-07,put,violent,0,True,25,5025.77421785162,10.05154843570324,0.004310837115338638,-0.6663205387021843,4.3748584604615735
2025-04-10,put,violent,7,False,18,5277.321857485988,10.052041633306645,0.001145336035536411,-0.05333032919685202,0.180484839273501
2025-04-16,put,violent,17,False,8,5271.473005364685,10.0409009625994,0.0002716353605249467,-0.18795769726461767,0.30977992322019426
2025-04-17,put,violent,5,False,20,5270.145893884995,10.038373131209514,0.00015079010381884478,-0.22097289330272396,0.27134724857685355
2025-04-21,put,violent,0,True,25,5268.287343348641,10.034833034949793,0.00010754695607787784,1.05421637130248,-1.093273490994879
2025-08-01,put,violent,18,False,7,6222.736923373866,10.036672457054623,6.353206403587918e-05,-0.40340672001950634,0.3215434083601286
2025-08-20,put,violent,2,False,23,6368.31032267164,10.028835153813606,6.103424784604039e-05,-0.7544853379905478,0.5894372838729959
2025-08-21,put,violent,13,False,12,6367.884509479978,10.028164581858233,4.3860340175752134e-05,-0.17077182526507262,0.11309729508968958
2025-09-02,put,violent,9,False,16,6364.975713370922,10.02358380058413,3.4991551735674425e-05,-1.44520040636209,0.8548888958732839
2025-09-25,put,violent,0,True,25,6635.805789833599,10.054251196717575,3.5461840959677415e-05,-0.7034533485178363,0.41890538202348687
2025-10-10,put,violent,13,False,12,6628.299286392454,10.042877706655233,0.00014491897078447037,0.7568243881089668,-0.9110825715796658
2025-11-06,put,violent,8,False,17,6727.787143262073,10.041473348152348,7.452172970886e-05,-0.07922096621469896,0.06838826695210523
2025-11-07,put,violent,0,True,25,6725.063713727886,10.037408527952069,5.1615549572243595e-05,-1.1754831245373674,0.8445136559655089
2025-11-14,put,violent,0,True,25,6722.734511035377,10.03393210602295,6.653379315202269e-05,-0.989851077037746,0.8074041955114307
2025-11-18,put,violent,1,False,24,6622.2972972972975,10.033783783783784,0.00012385459687647734,-0.2244139583406723,0.24975024975024976
2025-11-19,put,violent,19,False,6,6621.6138719949295,10.032748290901408,7.73042247038342e-05,-0.4948634399780224,0.4350978970268338
